MC DONALDS,McDonalds
BAKED POTAT,Baked Potato
SAQUE 24H 32181075 09/02,
MAKIS PLACE,Makis Place
BRIGADERIA,Brigaderia
CENTRO AUTO,Centro Automotivo
TBI 8471.13890-2pres dri,
TEC DEPOSITO DINHEIRO,
ROUMANOS FR,
CHAPLIN T I,Chaplin Tabacaria
PAULO VITOR,
RIACHUELO,Riachuelo
PIMENTA VER,
LUXO  REAL,Luxo Real
REST  PATEO,Don José Restaurante
INT PAG TIT BANCO 422,
TBI 2970.13225-0naty,
LANCHONETE ,Papis Lanches
JARDIM ANAL,
FRANGO ASSA,Frango Assado
TBI 8471.13900-9Presente,
GIRAFFAS,Giraffas
ALDINO S LA,Aldinos
DEGAS POMPE,Degas
HERING M CR,Hering
INT PAG TIT BANCO 001,
BABY STUFF,
GUARULHOS S,Super Pizza Pan
SISDEB  SEM PARAR,Sem Parar
CASA DA PIZ,Casa da Pizza
CH COMPENSADO 341 300100,
SISDEB  MEDICOS SEM FR,
SAQUE 24H 07758378,
2131RAIA,Droga Raia
TED 0001.3307CAIXA C S,
CENTAURO,Centauro
TBI 7386.07436-8     C/C,
CINEMARK 72,Cinemark
CH COMPENSADO 341 300099,
SAQUE 24H 05840038,
DOC 104.0235SERGIO T YAM,
SEGURO ITAUCAR COR 01/01,
ACLIMACAO B,
TOK E STOK ,Tok Stok
RI HAPPY,Ri Happy
EXTRA R JAF,Extra
NEO GEO WOR,Play Land
CH COMPENSADO 237 300109,
SAQUE 24H 08145278 28/11,
CH COMPENSADO 341 300106,
SAQUE 24H 02844033 25/06,
PAO DE LEIT,Padaria Pão de Leite
CH COMPENSADO 341 300108,
CEDIPI,Cedipi
GO NATURAL,
FLIPWASH BO,
LOJAS RENNE,Lojas Renner
PREMIO VGBL RF,Previdência Privada
CADILLAC BU,Cadillac Burguer
CXE     002147 SAQUE,
LANCHETERIA NADAI,
PIZZA PAULI,Pizzaria Paulista 10
DIA 457 ,Dia Supermercado
TUTTI PIZZA,Tutti Pizza
PARKSTATION,Estacionamento
FLORICULTUR,
CARTAO PERSONNALITE,
TAIYOO REST,Taiyoo Restaurante
AMAZON.COM.BR,Amazon
TEMAKI POIN,Temaki Point (Food Truck)
MALUCOS POR,Malucos Por Pizza
SAO JOSE,
CH COMPENSADO 341 300105,
DROGARIA PA,
REST PATEO,
ANJO PARK,
BUZINA FOOD,Buzina Food Truck
PIZZARIA CA,Casa Aurora
SARAIVA ITA,Saraiva
MARISA  LOJ,
DOCTOR FEET,Doctor Feet
BAYARD ,Bayard
CRISTALLO,Cristallo
DROG EXTRA,Drogaria Extra
MOB,Mob
ZONA CRIATI,Zona Criativa
SAUDE BUCAL,Dentista
TBI 9104.17261-5raissa,
VERA CRUZ ,Vera Cruz
INT  PAG TIT 237,
ESTACIONAMENTO-ANALIA,Estacionamento
LANCHONETE,Lanchonete da Cidade
RECANTO DOS,
CEA MODAS 1,C&A
CINEMARK,Cinemark
OKI PARK ES,Estacionamento
LA CREMERIE,Cachaçaria
NOTA FISCAL PAULISTA,
OFNER,Ofner
NAHOE ITAPU,Nahoe Sushi
CH COMPENSADO 341 300107,
TBI 9104.13816-0     C/C,
ALO BEBE 14,Alô Bebê
TBI 0644.61499-2/500,
VIE VERTE,Carrinho Folha
ROBERTO MOL,
HANNOVER ,Hannover
PRINT BANK,
PAPIS LANCH,Papis Lanches
PRACA DOS P,Praça dos Pães
AUTO POSTO,Posto de Gasolina
HOLY BURGER,Holy Burger
INT PM S PAULO 423700299,
REND PAGO APLIC AUT MAIS,Aplicação Automática
PAGSEGUROUO,
SAQUE 24H 19997162,
TARBOUSH EX,Tarboush
SONDA LJ 12,Sonda
TED 001.3307CAIXA C S AD,
PBKIDS,PB Kids
TED S 237.0296TIAGO HIPO,
MR CHENEY C,Mr Cheney
PIZZA HUT S,Pizza Hut
CAFE BANDEI,Frans Café
COLEGIO UNI,
CARICA VIDA,Freddo Sorvetes
CASA NA PRA,Casa na Praia
DEB AUTOR SEM PARAR,Sem Parar
NETSHOES,Netshoes
BABYS MARKE,Babys Market
AURORA ALVO,Casa Aurora
TBI 3757.10086-6cafe,
SAQUE 24H 06068373,
RIACHUELO 1,Riachuelo
PAO DE ACUCAR PST 2632,Pão de Açúcar
ESTAPAR PA,Estacionamento
BURGER KING,Burger King
INT PAG TIT BANCO 104,
PANIF CONF,Padaria
REND PAGO APLIC AUT APR,Aplicação Automática
MIRACOLI ,Miracolli
CRIS PAPEL,
TBI 8471.13890-2nat,
SABOR DE MI,Sabor de Minas
RIPA NA BRASA,Ripa na Brasa
BAR DO NELS,
DA  CLARO SP 492282181,Claro
GROUPON*Groupon,Groupon
MERCANTIL 3,
DOCEIRA HOL,Holandesa
DRYCLEAN USA ANALIA FR,Dryclean USA
GIRAFFAS A ,Giraffas
CENTRAL DE,
ON OFF COM,
MIRACOLLI,Miracolli
ARLEQUIM BR,
DOC INT 601469  Natalia,
CH COMPENSADO 341 300103,
BAR E LANC ,Bar do Estadão
BRAZ,Braz Pizzaria
SESTINI,
SWEET TRUCK,Sweet Truck
ASB VALET S,Nahoe Sushi
RESTAURANTE 29 TAKASU,Restaurante Takasu
PEDRINHO HO,Pedrinhos Dog
ESFIHARIA D,Esfiharia
SAQUE 24H 07524671,
ULTRAFARMA,Ultrafarma
LIVIA GIMEN,
RI HAPPY ,Ri Happy
INT TED D   798268 inves,
RONCADOR HA,Roncador Hamburgueria
RIP CURL ,Rip Curl
AG. TEF 0644.61499-2,
BALACOBACO,
OUTBACK BZ,Outback Steakhouse
POSTO PEROL,
DROGARIA SA,Drogaria São Paulo
TED 237.0296TIAGO HIPO,
CXE     000810 SAQUE,
PAPAROTI FA,Papa Roti (Shopping da Moto)
SAQUE 24H 13709100,
DOC 745.0001PAYPAL DO BR,
AOYAMA TATU,Aoyama Sushi
LOJA SWIFT ,Swift
CH COMPENSADO 341 300101,
CONFEITARIA,Padaria
CH COMPENSADO 341 300112,
TBI 0910.11994-0investim,
SISPAG  YASUDA MAR SAUDE,
SELETTI MOO,Seletti
PAYLEVEN,
CASA BAUDUC,Casa Bauducco
TBI 0644.61499-2nat,
TESTE,
MIRACOLI,Miracolli
DOC 237.0296MARCIO A BER,
LUXO REAL,Luxo Real
SUP MAMBO,Mambo Supermercado
CECILIA YON,Cookie 'n Ice
CXE     000539 SAQUE,
BOI NA BRAS,Boi na Brasa
A POSTO D S,Posto de Gasolina
INT IPVA-SP FGD-0302,IPVA
PLASTPELL,
CARREFOUR V,Carrefour
TED 104.0630CAIXA CONSOR,
SALADA RECO,Salada Record
SASSA,Cacau Show
OUTBACK BZ ,Outback Steakhouse
WRAPS,Wraps
FARMACIA CE,Farmácia Manipulação
AUTO POSTO PLACAR,Posto de Gasolina
CASA DA PIZZA,Casa da Pizza
INT DPVAT-SP FGD-0302,DPVAT
C & A MODAS,C&A
HERBALIFE,
SAQUE 24H 09980798,
DROGASIL 09,Drogasil
ASANTI LANC,
SELETTI SH ,Seletti
MR CHINY ,Mr. Cheney
REVISECAR,
INT TED D   894704,
PIZZARIA TR,Pizzaria 30 Sabores
PB KIDS,PB Kids
INT PAG TIT BANCO 237,
COMPRAKI MI,Transfer : Itau
HAMBURGUERI,
AUTO POSTO ,Posto de Gasolina
SAQUE S/C 000794 09/07,
NINA KIDS,
CHINA IN BO,China in Box
NEW BURGUER,New Burguer
SUBWAY SAPO,Subway
CASA E LOJA,
GRILETTO,
JOEY STEAK ,Joey Steakhouse
FILIAL MARKET PLACE,
MR CHINY,
VIENA EXPRE,Viena Express
KOPENHAGEN ,Kopenhagen
I DE DUARTE,Papa Roti (Shopping da Moto)
CXE     000547 SAQUE,
CH COMPENSADO 341 300110,
TBI 0644.63539-3tran nat,
TBI 3757.10086-6tokpag,
VILLA NOVA,
SARAIVA ANA,Saraiva
DA  NET SERVIÇOS 9756245,Net
CIA DA SAUD,
CH COMPENSADO 341 300098,
TELHANORTE TATUAPE,Telhanorte
ESTACIONAME,Estacionamento
SPOLETO ANA,Spoleto
M STORE,
SELETTI SH,Seletti
MAX SCHIFTA,
SARAIVA ANALIA FRANCO5,Saraiva
LA GUAPA EM,La Guapa
DEB AUTOR Doacao MSF,Médicos Sem Fronteiras
NUTRISOM RE,Nutrissom
MINUTO PAO,Minuto Pão de Açúcar
BACIO DI LA,Bacio Di Latte
IT BURGUER,It Burger
CATAVENTO,Livraria Catavento
RESERVA PES,
PE DE MEIA,Pé de Meia
TBI 0349.11000-7tokpag,
RIPA NA BRA,Ripa na Brasa
LOJA HAVAIA,Loja Havaianas
RPC REDE P ,Ponto Certo
BRASVENDING,
SAQUE 24H 06478986,
NOVA SAPORE,
MARENGO,Padaria Marengo
KOPENHAGEN,Kopenhagen
PANIF CAMPO,Padaria Campos Elíseos
PA 2074 VIL,Pão de Açúcar
TBI 3757.11681-3tokpag,
15 MAIS EH,
PAPELARIA S,
DROGASIL 14,Drogasil
ALO BEBE293,Alô Bebê
KANPAI DOCE,Kanpai Doces
MARSELHESA,Marselhesa
DROGA RAIA,Droga Raia
ANIMAL TOUR,
HTRES SAO P,
CARREFOUR J,
TIO GIMBA ,Tio Gimba
CARREFOUR T,Carrefour
VILLAGE PIT,
INT  PAG TIT 422,
CAFE GIROND,Café Girondino
ALMANARA AN,Almanara
MARIA JOAO,
SELETTI,Seletti
CAFE VERMON,Café Vermont
CXE     002329 SAQUE,
CHOPERIA MAGIC CHICKEN,Magic Chicken
INT PAG TIT BANCO 033,
TBI 0349.11000-7bilhuni,Ponto Certo
PIUI,
CAFE DO PON,Café do Ponto
NATURAL DA,Hortifruti Natural Da
INT CLARO-SP DDD  206450,Claro
PAPA 5,Posto de Gasolina
MANOELA GOU,Padaria Manuella
BRISTOL AUT,
ELETROPAULO   1000972126,Eletropaulo
SP MARKET E,
M V PARK BE,Estacionamento
LA PERGOLET,La Pergoleta
SAQUE 24H 05823331,
LINI FOTO,
ANUSHA CHOC,
TIO GIMBA A,Tio Gimba
CHOCOLANDIA,Chocolandia
MC DONALDS ,McDonalds
MULTICOISAS,Multicoisas
PRML RESTAU,Vera Cruz
DROGA RAIA ,Droga Raia
VIE VERTE ,Carrinho Folha
MARIE ET MARIE,Marie Marie Bakery
CENTRO PAUL,
KAPALUA RES,Kappa Gourmet
INT LICENC SP  000505668,Licenciamento
POSTO TATUA,Posto de Gasolina
JOSE GENILS,Banca de Jornal
RESTAURANTE,Hangar Restaurante
TBI 3751.05488-7tokpag,
EXTRA ANHAN,Extra
ACQUA MUNDO,Acqua Mundo
STA ETIENNE,Santa Etienne
PANIFICADOR,
MONTANA GRI,Montana Grill
HAVAIANAS ,Havaianas
DA  CLARO SP 905595244,Claro
CAPRI SHOES,Ana Capri
PAULO YOSHI,
CH COMPENSADO 341 300104,
TBI 0039.52713-0nilton,
CALCADOS PAMPILI,Calçados Pampili
TBI 8471.13961-1     C/C,
WINE BLUE,
REDE PARK,
DA  CLARO SP 206731124,Claro
TBI 0885.47637-4/500,Perua Escolar
MOBILE MANI,
SUSHI LOVER,Sushi Lovers
SUJINHO,Sujinho
SAQUE 24H 03873031,
SARAIVA HIG,Saraiva
TBI 9104.17261-5natalia,
DOC 001.REST. IR,
RAIA DROGAS,Droga Raia
DROGARIA ON,Drogaria
TBI 0349.11000-7bunico,
CAFES SUPLICY SHOPPING,Café Suplicy
BOUTIQUE HI,Nespresso
INT CLARO-SP 206731124,Claro
LUXO REAL ,Luxo Real
ATLANTICO P,
VOVO ALI,Vovô Ali
TBI 0466.67428-0tokpag,
CH COMPENSADO 341 300102,
ESTORNO            RSHOP,
SPOLETO HIG,Spoleto
PAO DE ACUC,Pão de Açúcar
INTERDROGA,
SAQUE 24H 02017218,
INT SHOPLINE MOIP.COM,
CASA AURORA,Pizza
ANALIA FRAN,América Restaurante
CHICO RESTA,Chico Restaurante
HERING STORE,Hering
LOJA SWIFT,Loja Swift
ULTRAFARMA SAUDE,Ultrafarma
THE FIFTIES,Fifties
TIO GIMBA,Tio Gimba
NOVA TATUAP,Padaria
JPF COM E ,Casa da Pizza
SANTA FE CE,Santa Fé Cervejaria
VILIVAS COM,
DIVINO FOGA,Divino Fogão
BAR E CHOP,Bar e Chopp Aclimação
DELON,
MINIMERCADO,Mercado
CH COMPENSADO 341 300097,
PADARIAE RE,
HAVANNA CAFE-A.FRANCO,Havana Café
UCI BRASIL,Cinema
PEZINHO DE,
SAQUE 24H 08956054,
TEATRO FOLH,Teatro Folha
DA  LIQUIGÁS 0001705318,Liquigás
TATUAPE ,Si Señor
ALEXANDRE P,
EXTRA ITAIM,Extra
PB IMPRESSO,
DISTRIBUIDO,Distribuidora Agua
PARQUE DA MONICA,Parque da Mônica
SAQUE CARTAO MAGNETICO,
TBI 9104.17261-5     C/C,
JALISCO ESF,Jalisco Esfihas
STMARCHE AN,St Marchê
REDE OBA,Oba Supermercado
CHAC S CECI,
MARIE MARIE,Marie Marie Bakery
HERING STOR,Hering
PETIT ENFAN,
TBI 7069.04191-6Natalia,
MANIA DE CH,Mania de Churrasco
BELLABELLE,
ABBRACCIO A,Restaurante Abbraccio
CH COMPENSADO 341 300096,
ESTAPAR S L,Estacionamento
CAFE E LANC,Mr Cuco
ESTACAO REP,Estação República
BIG BREAD,Big Bread
TBI 8471.13940-5Re Mob,
DB COM DE A,Subway
LE POSTICHE,Le Postiche
DELICIAS DE,
MARIE ET MA,Marie Marie Bakery
ALO BEBE 71,Alô Bebê
AMERICA,América Restaurante
STARBUCKS 1,Starbucks
SELETTI ANA,Seletti
PIZZARIA MI,
RAIA 631 SP,Droga Raia
PANELA DA C,Panela da Cecília
DIA 457,Dia Supermercado
SAQUE 24H 05826110,
INT RESGATE   MAXIME DI,
IGUATEMI ESTACIONAMENT,Estacionamento
TBI 0349.11000-7bilheteu,Ponto Certo
MERCADO IPE,Mercado Ipê
ESPACO DONA,Dona Deola
I DE F DUAR,Papa Roti
TBI 3751.05488-7cafe,
